!!SBtab SBtabVersion='1.0' TableType='Pathway' TableName='WormJam pathways'
!Name	!Identifiers:GO_process	!Identifiers:kegg:pathway	!Identifiers:BioCyc	!Identifiers:pw	!Comment	!Curator
